Country,Type,People
Australia,Deployed,330000
Australia,Killed,59000
Australia,Wounded,15200
Australia,MIA,211000
Austria-Hungary,Deployed,6500000
Austria-Hungary,Killed,1200000
Austria-Hungary,Wounded,3620000
Austria-Hungary,MIA,4820000
Belgium,Deployed,207000
Belgium,Killed,13000
Belgium,Wounded,44000
Belgium,MIA,57000
Bulgaria,Deployed,400000
Bulgaria,Killed,101000
Bulgaria,Wounded,153000
Bulgaria,MIA,254000
Canada,Deployed,620000
Canada,Killed,67000
Canada,Wounded,173000
Canada,MIA,241000
The Caribbean,Deployed,21000
The Caribbean,Killed,1000
The Caribbean,Wounded,3000
The Caribbean,MIA,4000
French Empire,Deployed,7500000
French Empire,Killed,1385000
French Empire,Wounded,4266000
French Empire,MIA,5651000
Germany,Deployed,11000000
Germany,Killed,1718000
Germany,Wounded,4234000
Germany,MIA,5952000
Great Britain,Deployed,5397000
Great Britain,Killed,703000
Great Britain,Wounded,1663000
Great Britain,MIA,2367000
Greece,Deployed,230000
Greece,Killed,5000
Greece,Wounded,21000
Greece,MIA,26000
India,Deployed,1500000
India,Killed,43000
India,Wounded,65000
India,MIA,108000
Italy,Deployed,5500000
Italy,Killed,460000
Italy,Wounded,947000
Italy,MIA,1407000
Japan,Deployed,800000
Japan,Killed,250
Japan,Wounded,1000
Japan,MIA,1250
Montenegro,Deployed,50000
Montenegro,Killed,3000
Montenegro,Wounded,10000
Montenegro,MIA,13000
New Zealand,Deployed,110000
New Zealand,Killed,18000
New Zealand,Wounded,55000
New Zealand,MIA,73000
Portugal,Deployed,100000
Portugal,Killed,7000
Portugal,Wounded,15000
Portugal,MIA,22000
Romania,Deployed,750000
Romania,Killed,200000
Romania,Wounded,120000
Romania,MIA,320000
Russia,Deployed,12000000
Russia,Killed,1700000
Russia,Wounded,4950000
Russia,MIA,6650000
Serbia,Deployed,707000
Serbia,Killed,128000
Serbia,Wounded,133000
Serbia,MIA,261000
South Africa,Deployed,149000
South Africa,Killed,7000
South Africa,Wounded,12000
South Africa,MIA,19000
Turkey,Deployed,1600000
Turky,Killed,336000
Turkey,Wounded,400000
Turkey,MIA,736000
USA,Deployed,4272500
USA,Killed,117000
USA,Wounded,204000
USA,MIA,321000
